"ui_resources";"1.0";;;;;;;;;;;;;;;;;
# version : 6.0.0
"object_id";"text:is_adult";"text[eng]:label";"text[fre]:label";"text[dut]:label";"text[ger-CHE]:label";"text[fre-CHE]:label";"text[ita-CHE]:label";"text[ger-DEU]:label";"text[tur]:label";"text[eng-IRL]:label";"text[ger.AUT]:label";"text[nno]:label";"text[swe]:label";"text[hun]:label";"text[pol]:label";"text[cze]:label";"text[slo]:label";"text[rum]:label"
"programme_genre/DVB/2.5";;"BOULEVARD";;"BOULEVARD";"BOULEVARD ";"BOULEVARD ";"BOULEVARD ";"BOULEVARD ";"BULVAR";"BOULEVARD";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/2.6";;"BREAKING NEWS";;"BREAKING NEWS";"SONDERSENDUNG";"EMISSION SPÉCIALE";"TRASMISSIONE SPECIALE";"SONDERSENDUNG";"SON DAKİKA";"BREAKING NEWS";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/2.7";;"INTERACTIVE";;"INTERACTIEF";"INTERACTIVE";"INTERACTIF";"INTERATTIVO";"INTERACTIVE";"İNTERAKTİF";"INTERACTIVE";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/2.8";;"WAR";;"OORLOG";"KRIEG";"GUERRE";"GUERRA";"KRIEG";"SAVAŞ";"WAR";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/2.9";;"FANTASY";;"FANTASIE";"FANTASY";"FANTASTIQUE";"FANTASTICO";"FANTASY";"FANTAZİ";"FANTASY";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/2.10";;"ANIMATION";;"ANIMATIE";"ANIMATION";"ANIMATION";"ANIMAZIONI";"ANIMATION";"ANİMASYON";"ANIMATION";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/2.11";;"MARTIAL ARTS";;"VECHTSPORTEN";"KAMPFKUNST";"ARTS MARTIAUX";"ARTI MARZIALI";"KAMPFKUNST";"DÖVÜŞ SANATLARI";"MARTIAL ARTS";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/2.12";;"BLACK COMEDY";;"ZWARTE HUMOR";"SCHWARZE KOMÖDIE";"HUMOUR NOIR ";"NOIR";"SCHWARZE KOMÖDIE";"KARA KOMEDİ";"BLACK COMEDY";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/2.13";;"CULT";;"CULT";"KULT";"FILM CULTE";"CULT";"KULT";"KÜLT";"CULT";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/2.14";;"EROTIC";;"EROTISCH";"EROTIK";"EROTIQUE";"EROTICO";"EROTIK";"EROTİK";"EROTIC";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/2.15";;"ARRIVO";;"ARRIVO";"ARRIVO";"ARRIVO";"ARRIVO";"ARRIVO";"ARRIVO";"ARRIVO";"ARRIVO";"arrivo";;"arrivo";;;"arrivo";" "
"programme_genre/DVB/3.0";;"SHOWS & GAME SHOWS";"SPECTACLES/ÉMISSION DE JEU";"SHOW & SPELSHOW";"SHOWS & GAME SHOWS";"SPECTACLES & ÉMISSION DE JEU";"SPETTACOLI & GIOCO A PREMI";"SHOWS & GAME SHOWS";"ŞOVLAR VE YARIŞMALAR";"SHOWS & GAME SHOWS";"SHOW";"show";"show";"Show";"program rozrywkowy";"Show";"Show";"spectacol"
